Date,Close,Return_%
2025-07-10,6280.46,0.0
2025-07-11,6259.75,-0.32975291618766445
2025-07-14,6268.56,-0.18947656700304405
2025-07-15,6243.76,-0.5843521015976516
2025-07-16,6263.7,-0.2668594338631314
2025-07-17,6297.36,0.269088569945497
2025-07-18,6296.79,0.26001280161007667
2025-07-21,6305.6,0.40028915079468597
2025-07-22,6309.62,0.46429720116041295
2025-07-23,6358.91,1.2491123261671788
2025-07-24,6363.35,1.3198077847800915
2025-07-25,6388.64,1.7224852956630565
2025-07-28,6389.77,1.7404776083280504
2025-07-29,6370.86,1.4393850131996677
2025-07-30,6362.9,1.3126427045152766
2025-07-31,6339.39,0.9383070666798332
2025-08-01,6238.01,-0.6759059049814775
2025-08-04,6329.94,0.7878403811185652
2025-08-05,6299.19,0.2982265630224523
2025-08-06,6345.06,1.028587078016585
2025-08-07,6340.0,0.9480197310388183
2025-08-08,6389.45,1.7353824401397322
2025-08-11,6373.45,1.480624030723865
2025-08-12,6445.76,2.631972817277717
2025-08-13,6466.58,2.9634771975301177
2025-08-14,6468.54,2.9946851026835697
2025-08-15,6449.8,2.696299315655226
2025-08-18,6449.15,2.6859497552726985
